Character Name,Link
Category:Amalgamates,https://undertale.fandom.com/wiki/Category:Amalgamates
Asgore Dreemurr,https://undertale.fandom.com/wiki/Asgore_Dreemurr
Asriel Dreemurr,https://undertale.fandom.com/wiki/Asriel_Dreemurr
Dogamy and Dogaressa,https://undertale.fandom.com/wiki/Dogamy_and_Dogaressa
Doggo,https://undertale.fandom.com/wiki/Doggo
Endogeny,https://undertale.fandom.com/wiki/Endogeny
Glyde,https://undertale.fandom.com/wiki/Glyde
Greater Dog,https://undertale.fandom.com/wiki/Greater_Dog
Category:In Battle,https://undertale.fandom.com/wiki/Category:In_Battle
Lemon Bread,https://undertale.fandom.com/wiki/Lemon_Bread
Lesser Dog,https://undertale.fandom.com/wiki/Lesser_Dog
Mad Dummy,https://undertale.fandom.com/wiki/Mad_Dummy
Mad Mew Mew,https://undertale.fandom.com/wiki/Mad_Mew_Mew
Memoryhead,https://undertale.fandom.com/wiki/Memoryhead
Mettaton,https://undertale.fandom.com/wiki/Mettaton
Muffet,https://undertale.fandom.com/wiki/Muffet
Napstablook,https://undertale.fandom.com/wiki/Napstablook
Papyrus,https://undertale.fandom.com/wiki/Papyrus
Photoshop Flowey,https://undertale.fandom.com/wiki/Photoshop_Flowey
Reaper Bird,https://undertale.fandom.com/wiki/Reaper_Bird
Royal Guards,https://undertale.fandom.com/wiki/Royal_Guards
Sans,https://undertale.fandom.com/wiki/Sans
Shyren,https://undertale.fandom.com/wiki/Shyren
Snowdrake's Mother,https://undertale.fandom.com/wiki/Snowdrake%27s_Mother
So Sorry,https://undertale.fandom.com/wiki/So_Sorry
Toriel,https://undertale.fandom.com/wiki/Toriel
Undyne,https://undertale.fandom.com/wiki/Undyne
